Image_ID,Age,Gender,Race
10_0_0_20170110224416035,10,0,0
10_0_0_20170110224500062,10,0,0
10_0_0_20170110224524253,10,0,0
10_0_0_20170110224549512,10,0,0
10_0_0_20170110224725285,10,0,0
10_0_0_20170110224757882,10,0,0
10_0_0_20170110225013755,10,0,0
10_0_0_20170110225035898,10,0,0
10_0_0_20170110225227587,10,0,0
10_0_0_20170110225243501,10,0,0
10_0_0_20170110225246490,10,0,0
10_0_0_20170110225252799,10,0,0
10_0_0_20170110225402690,10,0,0
10_0_0_20170110225414790,10,0,0
10_0_0_20170110225417177,10,0,0
10_0_0_20170110225421531,10,0,0
10_0_0_20170110225442428,10,0,0
10_0_0_20170110225444491,10,0,0
10_0_0_20170110225451638,10,0,0
10_0_0_20170110225502403,10,0,0
10_0_0_20170110225505288,10,0,0
10_0_0_20170110225518663,10,0,0
10_0_0_20170110225528484,10,0,0
10_0_0_20170110225537307,10,0,0
10_0_0_20170110225546130,10,0,0
10_0_0_20170110225557604,10,0,0
10_0_0_20170110225601897,10,0,0
10_0_0_20170116201102149,10,0,0
10_0_0_20170116201328751,10,0,0
10_0_0_20170116201337172,10,0,0
10_0_0_20170117135444407,10,0,0
10_0_0_20170117143048181,10,0,0
10_0_0_20170117175625724,10,0,0
10_0_0_20170120220628194,10,0,0
10_0_1_20170104010841239,10,0,1
10_0_1_20170110220507258,10,0,1
10_0_1_20170110220523360,10,0,1
10_0_1_20170110223455893,10,0,1
10_0_1_20170110223848885,10,0,1
10_0_1_20170110225121326,10,0,1
10_0_1_20170110225339066,10,0,1
10_0_1_20170116225209209,10,0,1
10_0_2_20170110224230094,10,0,2
10_0_2_20170116162109013,10,0,2
10_0_3_20161220215952636,10,0,3
10_0_3_20170104225233504,10,0,3
10_0_3_20170104225238736,10,0,3
10_0_3_20170105175322885,10,0,3
10_0_4_20161221192738446,10,0,4
10_0_4_20170103200335831,10,0,4
10_0_4_20170103200409638,10,0,4
10_0_4_20170103200443015,10,0,4
10_0_4_20170103200501766,10,0,4
10_0_4_20170103201924664,10,0,4
10_0_4_20170103202338152,10,0,4
10_0_4_20170103212521420,10,0,4
10_0_4_20170103223451479,10,0,4
10_0_4_20170104010810728,10,0,4
10_1_0_20161220222001459,10,1,0
10_1_0_20170103175323250,10,1,0
10_1_0_20170103200654246,10,1,0
10_1_0_20170109201728056,10,1,0
10_1_0_20170109202251032,10,1,0
10_1_0_20170109202346880,10,1,0
10_1_0_20170109203218966,10,1,0
10_1_0_20170109203245653,10,1,0
10_1_0_20170109203357787,10,1,0
10_1_0_20170109203427416,10,1,0
10_1_0_20170109203438428,10,1,0
10_1_0_20170109203501969,10,1,0
10_1_0_20170109203512075,10,1,0
10_1_0_20170109203556029,10,1,0
10_1_0_20170109203608654,10,1,0
10_1_0_20170109203642966,10,1,0
10_1_0_20170109203653735,10,1,0
10_1_0_20170109203759972,10,1,0
10_1_0_20170109203905538,10,1,0
10_1_0_20170109203917216,10,1,0
10_1_0_20170109203924076,10,1,0
10_1_0_20170109204148144,10,1,0
10_1_0_20170109204244904,10,1,0
10_1_0_20170109204255055,10,1,0
10_1_0_20170109204259563,10,1,0
10_1_0_20170109204338404,10,1,0
10_1_0_20170109204422889,10,1,0
10_1_0_20170109204435809,10,1,0
10_1_0_20170109204502951,10,1,0
10_1_0_20170109204617417,10,1,0
10_1_0_20170109204746535,10,1,0
10_1_0_20170109204844109,10,1,0
10_1_0_20170109204859493,10,1,0
10_1_0_20170109204931156,10,1,0
10_1_0_20170109205003280,10,1,0
10_1_0_20170109205134282,10,1,0
10_1_0_20170109205141310,10,1,0
10_1_0_20170109205208368,10,1,0
10_1_0_20170110220649364,10,1,0
10_1_1_20170109202938302,10,1,1
10_1_1_20170109203348828,10,1,1
10_1_1_20170109203520178,10,1,1
10_1_1_20170109203522559,10,1,1
10_1_1_20170109204636561,10,1,1
10_1_1_20170110225155603,10,1,1
10_1_1_20170116225209209,10,1,1
10_1_1_20170117134313205,10,1,1
10_1_2_20170103201007646,10,1,2
10_1_2_20170104005417671,10,1,2
10_1_2_20170109201545634,10,1,2
10_1_2_20170109205037024,10,1,2
10_1_2_20170116175840105,10,1,2
10_1_3_20170104221633430,10,1,3
10_1_3_20170104221645430,10,1,3
10_1_3_20170104221711437,10,1,3
10_1_3_20170109203848078,10,1,3
10_1_3_20170109205323078,10,1,3
10_1_3_20170112211048149,10,1,3
10_1_3_20170117144247699,10,1,3
10_1_3_20170119150820222,10,1,3
10_1_4_20161223225854867,10,1,4
10_1_4_20161223225900460,10,1,4
10_1_4_20170103200950879,10,1,4
10_1_4_20170104005649671,10,1,4
10_1_4_20170117195152197,10,1,4
110_0_0_20170112213500903,110,0,0
110_0_2_20170112223734562,110,0,2
110_1_0_20170120134701015,110,1,0
110_1_1_20170110155201038,110,1,1
110_1_3_20170110155139762,110,1,3
111_1_0_20170120134646399,111,1,0
115_1_0_20170120134725990,115,1,0
115_1_0_20170120134725991,115,1,0
115_1_1_20170112213257263,115,1,1
116_1_0_20170112213001988,116,1,0
116_1_0_20170120134921760,116,1,0
116_1_2_20170112220255503,116,1,2
116_1_3_20170120134744096,116,1,3
11_0_0_20170103200509559,11,0,0
11_0_0_20170103200824775,11,0,0
11_0_0_20170104012556563,11,0,0
11_0_0_20170110220408722,11,0,0
11_0_0_20170110220453002,11,0,0
11_0_0_20170110220500946,11,0,0
11_0_0_20170110220518578,11,0,0
11_0_0_20170110220657089,11,0,0
11_0_0_20170110220710576,11,0,0
11_0_0_20170110224233654,11,0,0
11_0_0_20170110224340941,11,0,0
11_0_0_20170110224408700,11,0,0
11_0_0_20170110224505551,11,0,0
11_0_0_20170110224606036,11,0,0
11_0_0_20170110224742037,11,0,0
11_0_0_20170110224755272,11,0,0
11_0_0_20170110225254975,11,0,0
11_0_0_20170110225327724,11,0,0
11_0_0_20170110225435539,11,0,0
11_0_0_20170110225459361,11,0,0
11_0_0_20170110232511893,11,0,0
11_0_1_20170103201136230,11,0,1
11_0_2_20170103200847287,11,0,2
11_0_3_20170104013250186,11,0,3
11_0_3_20170104230222352,11,0,3
11_0_4_20170103200621488,11,0,4
11_1_0_20170103200517422,11,1,0
11_1_0_20170109203319557,11,1,0
11_1_0_20170109203327397,11,1,0
11_1_0_20170109203353740,11,1,0
11_1_0_20170109203400684,11,1,0
11_1_0_20170109203422194,11,1,0
11_1_0_20170109203919852,11,1,0
11_1_0_20170109204030951,11,1,0
11_1_0_20170109204123358,11,1,0
11_1_0_20170109204523092,11,1,0
11_1_0_20170109204546617,11,1,0
11_1_0_20170109204611305,11,1,0
11_1_0_20170109204614249,11,1,0
11_1_0_20170109204641514,11,1,0
11_1_0_20170109204833458,11,1,0
11_1_0_20170109204927071,11,1,0
11_1_0_20170109205013531,11,1,0
11_1_0_20170109205122664,11,1,0
11_1_0_20170109205125500,11,1,0
11_1_0_20170109205136852,11,1,0
11_1_0_20170109205211093,11,1,0
11_1_0_20170109205214234,11,1,0
11_1_0_20170109205216790,11,1,0
11_1_0_20170109205247087,11,1,0
11_1_0_20170109205438571,11,1,0
11_1_0_20170109205441860,11,1,0
11_1_0_20170110224810583,11,1,0
11_1_0_20170117133441179,11,1,0
11_1_1_20170109203712835,11,1,1
11_1_1_20170114033545468,11,1,1
11_1_2_20170104005111615,11,1,2
11_1_3_20170104222911112,11,1,3
11_1_3_20170104223632543,11,1,3
11_1_4_20161223225953124,11,1,4
11_1_4_20170103201747167,11,1,4
11_1_4_20170103212554964,11,1,4
11_1_4_20170103233340363,11,1,4
11_1_4_20170104005813063,11,1,4
11_1_4_20170109201611941,11,1,4
12_0_0_20170103200900511,12,0,0
12_0_0_20170103201859385,12,0,0
12_0_0_20170104013257914,12,0,0
12_0_0_20170109213205384,12,0,0
12_0_0_20170110215606404,12,0,0
12_0_0_20170110215739155,12,0,0
12_0_0_20170110220108459,12,0,0
12_0_0_20170110221819113,12,0,0
12_0_0_20170110224603045,12,0,0
12_0_0_20170110224804208,12,0,0
12_0_0_20170110224833703,12,0,0
12_0_0_20170110224843637,12,0,0
12_0_0_20170110225028524,12,0,0
12_0_0_20170110225257257,12,0,0
12_0_0_20170110225330874,12,0,0
12_0_0_20170110225348936,12,0,0
12_0_0_20170110225540554,12,0,0
12_0_0_20170110225553717,12,0,0
12_0_0_20170110232735095,12,0,0
12_0_0_20170117133903517,12,0,0
12_0_0_20170117141849040,12,0,0
12_0_0_20170117145849076,12,0,0
12_0_0_20170117165940524,12,0,0
12_0_0_20170117182308749,12,0,0
12_0_0_20170117190914091,12,0,0
12_0_1_20170110224244673,12,0,1
12_0_1_20170110225335956,12,0,1
12_0_2_20161219212833549,12,0,2
12_0_2_20170104012525810,12,0,2
12_0_2_20170104013228314,12,0,2
12_0_2_20170105000510274,12,0,2
12_0_3_20170104013451506,12,0,3
12_0_3_20170104225715968,12,0,3
12_0_3_20170104225802393,12,0,3
12_0_3_20170104230255729,12,0,3
12_0_3_20170117183456013,12,0,3
12_0_4_20170103200538198,12,0,4
12_0_4_20170103200555927,12,0,4
12_0_4_20170103200626630,12,0,4
12_0_4_20170103200908168,12,0,4
12_0_4_20170103201607807,12,0,4
12_0_4_20170103201824880,12,0,4
12_0_4_20170103205745050,12,0,4
12_1_0_20170102234319611,12,1,0
12_1_0_20170102234723371,12,1,0
12_1_0_20170103175441790,12,1,0
12_1_0_20170103200659679,12,1,0
12_1_0_20170103200711205,12,1,0
12_1_0_20170103200742207,12,1,0
12_1_0_20170103200944175,12,1,0
12_1_0_20170104005520631,12,1,0
12_1_0_20170104005712405,12,1,0
12_1_0_20170104012017177,12,1,0
12_1_0_20170104013219930,12,1,0
12_1_0_20170104013410523,12,1,0
12_1_0_20170109193530060,12,1,0
12_1_0_20170109200852145,12,1,0
12_1_0_20170109200904988,12,1,0
12_1_0_20170109200926532,12,1,0
12_1_0_20170109201114375,12,1,0
12_1_0_20170109201553786,12,1,0
12_1_0_20170109201611941,12,1,0
12_1_0_20170109203240213,12,1,0
12_1_0_20170109203306886,12,1,0
12_1_0_20170109203310061,12,1,0
12_1_0_20170109203338340,12,1,0
12_1_0_20170109203424756,12,1,0
12_1_0_20170109203536309,12,1,0
12_1_0_20170109203606169,12,1,0
12_1_0_20170109203628860,12,1,0
12_1_0_20170109203631496,12,1,0
12_1_0_20170109203700059,12,1,0
12_1_0_20170109203709140,12,1,0
12_1_0_20170109204113685,12,1,0
12_1_0_20170109204206273,12,1,0
12_1_0_20170109204241570,12,1,0
12_1_0_20170109204428993,12,1,0
12_1_0_20170109204431716,12,1,0
12_1_0_20170109204507030,12,1,0
12_1_0_20170109204750280,12,1,0
12_1_0_20170109204805155,12,1,0
12_1_0_20170109204815030,12,1,0
12_1_0_20170109205043077,12,1,0
12_1_0_20170109205045850,12,1,0
12_1_0_20170109205056743,12,1,0
12_1_0_20170109205104124,12,1,0
12_1_0_20170109205130906,12,1,0
12_1_0_20170109212505669,12,1,0
12_1_0_20170109213526011,12,1,0
12_1_0_20170109214236402,12,1,0
12_1_0_20170109214435512,12,1,0
12_1_0_20170116211852302,12,1,0
12_1_0_20170117143729521,12,1,0
12_1_0_20170117154622148,12,1,0
12_1_0_20170117181943783,12,1,0
12_1_0_20170117193148948,12,1,0
12_1_1_20170109204024091,12,1,1
12_1_1_20170109204809866,12,1,1
12_1_1_20170109214204794,12,1,1
12_1_1_20170109214642524,12,1,1
12_1_1_20170112213303693,12,1,1
12_1_1_20170116225216163,12,1,1
12_1_1_20170116233629728,12,1,1
12_1_2_20170103200649030,12,1,2
12_1_2_20170103200922406,12,1,2
12_1_2_20170103201240488,12,1,2
12_1_2_20170104012405785,12,1,2
12_1_2_20170109203838187,12,1,2
12_1_2_20170109214246240,12,1,2
12_1_2_20170116190115810,12,1,2
12_1_2_20170116194059753,12,1,2
12_1_2_20170117145333545,12,1,2
12_1_2_20170117165908225,12,1,2
12_1_2_20170117194013371,12,1,2
12_1_3_20161220222343139,12,1,3
12_1_3_20170104012400657,12,1,3
12_1_3_20170104013517483,12,1,3
12_1_3_20170104221704334,12,1,3
12_1_3_20170104221910239,12,1,3
12_1_3_20170104223448631,12,1,3
12_1_3_20170104223643593,12,1,3
12_1_3_20170117152932909,12,1,3
12_1_3_20170117154644725,12,1,3
12_1_3_20170117174916351,12,1,3
12_1_4_20161223230033380,12,1,4
12_1_4_20170103200721583,12,1,4
12_1_4_20170103200804119,12,1,4
12_1_4_20170104011715593,12,1,4
12_1_4_20170109214232071,12,1,4
12_1_4_20170117201252893,12,1,4
13_0_0_20170103200413990,13,0,0
13_0_0_20170103200550455,13,0,0
13_0_0_20170103200631336,13,0,0
13_0_0_20170103200856687,13,0,0
13_0_0_20170103201032542,13,0,0
13_0_0_20170104003724576,13,0,0
13_0_0_20170104011725761,13,0,0
13_0_0_20170104012310089,13,0,0
13_0_0_20170104012320089,13,0,0
13_0_0_20170104012531409,13,0,0
13_0_0_20170104013342923,13,0,0
13_0_0_20170110220242419,13,0,0
13_0_0_20170110220458081,13,0,0
13_0_0_20170110224337867,13,0,0
13_0_0_20170110224531616,13,0,0
13_0_0_20170110224625011,13,0,0
13_0_0_20170110224745977,13,0,0
13_0_0_20170110224751365,13,0,0
13_0_0_20170110224801290,13,0,0
13_0_0_20170110225045970,13,0,0
13_0_0_20170110225059227,13,0,0
13_0_0_20170110225302179,13,0,0
13_0_0_20170110225307195,13,0,0
13_0_0_20170110225428740,13,0,0
13_0_0_20170110225438328,13,0,0
13_0_0_20170110225447389,13,0,0
13_0_0_20170110225513115,13,0,0
13_0_0_20170110225717809,13,0,0
13_0_0_20170110232519225,13,0,0
13_0_0_20170110232526929,13,0,0
13_0_1_20170110232537879,13,0,1
13_0_1_20170113150907477,13,0,1
13_0_2_20170103201143159,13,0,2
13_0_2_20170103201417686,13,0,2
13_0_2_20170117152653604,13,0,2
13_0_3_20170110232628896,13,0,3
13_0_3_20170119153840721,13,0,3
13_0_4_20170103201708406,13,0,4
13_1_0_20170104005742384,13,1,0
13_1_0_20170109201102915,13,1,0
13_1_0_20170109201615837,13,1,0
13_1_0_20170109201622416,13,1,0
13_1_0_20170109201711197,13,1,0
13_1_0_20170109203230286,13,1,0
13_1_0_20170109203322570,13,1,0
13_1_0_20170109203635557,13,1,0
13_1_0_20170109204048554,13,1,0
13_1_0_20170109204055232,13,1,0
13_1_0_20170109204108601,13,1,0
13_1_0_20170109204117086,13,1,0
13_1_0_20170109204128684,13,1,0
13_1_0_20170109204325267,13,1,0
13_1_0_20170109204439327,13,1,0
13_1_0_20170109204849625,13,1,0
13_1_0_20170109204923296,13,1,0
13_1_0_20170109205049477,13,1,0
13_1_0_20170109205106776,13,1,0
13_1_0_20170109205119953,13,1,0
13_1_0_20170109205237062,13,1,0
13_1_0_20170109212934682,13,1,0
13_1_0_20170109213526011,13,1,0
13_1_0_20170109214314841,13,1,0
13_1_0_20170109214402325,13,1,0
13_1_0_20170109214425620,13,1,0
13_1_0_20170109214635943,13,1,0
13_1_0_20170110220422857,13,1,0
13_1_0_20170110224453650,13,1,0
13_1_0_20170120133325603,13,1,0
13_1_1_20170109203928107,13,1,1
13_1_1_20170109204443201,13,1,1
13_1_2_20170104013444322,13,1,2
13_1_3_20170109205242338,13,1,3
13_1_3_20170109213029072,13,1,3
13_1_3_20170117181350659,13,1,3
13_1_4_20170103200733438,13,1,4
13_1_4_20170103200913055,13,1,4
13_1_4_20170103201542217,13,1,4
13_1_4_20170103212548662,13,1,4
13_1_4_20170104005210478,13,1,4
13_1_4_20170104005323135,13,1,4
13_1_4_20170117200640357,13,1,4
14_0_0_20170102234323550,14,0,0
14_0_0_20170102234854353,14,0,0
14_0_0_20170103200600206,14,0,0
14_0_0_20170103200611317,14,0,0
14_0_0_20170103200615511,14,0,0
14_0_0_20170103201123159,14,0,0
14_0_0_20170104011738192,14,0,0
14_0_0_20170104012315465,14,0,0
14_0_0_20170104012341136,14,0,0
14_0_0_20170104013338922,14,0,0
14_0_0_20170110220621497,14,0,0
14_0_0_20170110220704398,14,0,0
14_0_0_2017011022340900,14,0,0
14_0_0_20170110224441502,14,0,0
14_0_0_20170110224445654,14,0,0
14_0_0_20170110224516539,14,0,0
14_0_0_20170110224519294,14,0,0
14_0_0_20170110224528797,14,0,0
14_0_0_20170110225056665,14,0,0
14_0_0_20170110225116744,14,0,0
14_0_0_20170110225130741,14,0,0
14_0_0_20170110225405549,14,0,0
14_0_0_20170110225712028,14,0,0
14_0_0_20170110225725643,14,0,0
14_0_0_20170110231557039,14,0,0
14_0_0_20170110231657425,14,0,0
14_0_0_20170110232124117,14,0,0
14_0_0_20170110232127519,14,0,0
14_0_0_20170110232319481,14,0,0
14_0_0_20170110232523770,14,0,0
14_0_0_20170110232541244,14,0,0
14_0_0_20170110232544606,14,0,0
14_0_0_20170110232633429,14,0,0
14_0_0_20170110232651186,14,0,0
14_0_0_20170110232745742,14,0,0
14_0_0_20170110232801598,14,0,0
14_0_0_20170116201237010,14,0,0
14_0_0_20170116211955846,14,0,0
14_0_0_20170116222402683,14,0,0
14_0_0_20170117150204180,14,0,0
14_0_0_20170120133332421,14,0,0
14_0_1_20170104012054585,14,0,1
14_0_1_20170110232707718,14,0,1
14_0_1_20170113145153262,14,0,1
14_0_1_20170113151234215,14,0,1
14_0_1_20170116205529704,14,0,1
14_0_1_20170117133924867,14,0,1
14_0_1_20170117141604244,14,0,1
14_0_2_20170103200642238,14,0,2
14_0_2_20170103201038791,14,0,2
14_0_2_20170103201051263,14,0,2
14_0_2_20170104012412945,14,0,2
14_0_2_20170104012518441,14,0,2
14_0_2_20170104012541763,14,0,2
14_0_2_20170104013318514,14,0,2
14_0_2_20170110232701995,14,0,2
14_0_3_20170104012427337,14,0,3
14_0_3_20170104013434256,14,0,3
14_0_3_20170104225245755,14,0,3
14_0_3_20170104225533201,14,0,3
14_0_3_20170104225721488,14,0,3
14_0_3_20170104225858160,14,0,3
14_0_3_20170104230143521,14,0,3
14_0_3_20170109131758363,14,0,3
14_0_3_20170117181642515,14,0,3
14_0_4_20170103200528094,14,0,4
14_0_4_20170103200608359,14,0,4
14_0_4_20170103200837103,14,0,4
14_0_4_20170103201105568,14,0,4
14_0_4_20170103201644927,14,0,4
14_0_4_20170103205138666,14,0,4
14_0_4_20170113145202254,14,0,4
14_0_4_20170117192737955,14,0,4
14_0_4_20170117193432868,14,0,4
14_0_4_20170117204503401,14,0,4
14_1_0_20170103163023120,14,1,0
14_1_0_20170103183504594,14,1,0
14_1_0_20170103200702463,14,1,0
14_1_0_20170103200757286,14,1,0
14_1_0_20170103200819591,14,1,0
14_1_0_20170103201434935,14,1,0
14_1_0_20170103201911744,14,1,0
14_1_0_20170104005158239,14,1,0
14_1_0_20170104005333646,14,1,0
14_1_0_20170104005937407,14,1,0
14_1_0_20170104011720664,14,1,0
14_1_0_20170104011733528,14,1,0
14_1_0_20170104011842010,14,1,0
14_1_0_20170104013351986,14,1,0
14_1_0_20170109201824270,14,1,0
14_1_0_20170109203330417,14,1,0
14_1_0_20170109203340834,14,1,0
14_1_0_20170109203405475,14,1,0
14_1_0_20170109203505137,14,1,0
14_1_0_20170109203625481,14,1,0
14_1_0_20170109203638205,14,1,0
14_1_0_20170109203842960,14,1,0
14_1_0_20170109203901444,14,1,0
14_1_0_20170109203937399,14,1,0
14_1_0_20170109204131257,14,1,0
14_1_0_20170109204135732,14,1,0
14_1_0_20170109204158115,14,1,0
14_1_0_20170109204200483,14,1,0
14_1_0_20170109204218773,14,1,0
14_1_0_20170109204304326,14,1,0
14_1_0_20170109204321875,14,1,0
14_1_0_20170109204358190,14,1,0
14_1_0_20170109204620092,14,1,0
14_1_0_20170109204846649,14,1,0
14_1_0_20170109204918699,14,1,0
14_1_0_20170109205344937,14,1,0
14_1_0_20170109205406978,14,1,0
14_1_0_20170109212518607,14,1,0
14_1_0_20170109212651931,14,1,0
14_1_0_20170109212749213,14,1,0
14_1_0_20170109212753539,14,1,0
14_1_0_20170109212926958,14,1,0
14_1_0_20170109213221821,14,1,0
14_1_0_20170109213522480,14,1,0
14_1_0_20170109213541777,14,1,0
14_1_0_20170109213548658,14,1,0
14_1_0_20170109213635068,14,1,0
14_1_0_20170109214345916,14,1,0
14_1_0_20170109214349442,14,1,0
14_1_0_20170109214428765,14,1,0
14_1_0_20170109214440556,14,1,0
14_1_0_20170109214501715,14,1,0
14_1_0_20170109214635943,14,1,0
14_1_0_20170109214707410,14,1,0
14_1_0_20170117135203837,14,1,0
14_1_0_20170119150832998,14,1,0
14_1_1_20170109203225054,14,1,1
14_1_1_20170112230439326,14,1,1
14_1_1_20170116003214404,14,1,1
14_1_1_20170116235127595,14,1,1
14_1_2_20170102234329485,14,1,2
14_1_2_20170103200931103,14,1,2
14_1_2_20170104012048369,14,1,2
14_1_2_20170104012506017,14,1,2
14_1_2_20170104013310115,14,1,2
14_1_2_20170104021105972,14,1,2
14_1_2_20170109204853921,14,1,2
14_1_3_20161220220655004,14,1,3
14_1_3_20170104013523266,14,1,3
14_1_3_20170104221658783,14,1,3
14_1_3_20170104221756497,14,1,3
14_1_3_20170104221807127,14,1,3
14_1_3_20170104221818294,14,1,3
14_1_3_20170104221901782,14,1,3
14_1_3_20170104222437734,14,1,3
14_1_3_20170104222504560,14,1,3
14_1_4_20170103200753206,14,1,4
14_1_4_20170103200917543,14,1,4
14_1_4_20170103201207132,14,1,4
14_1_4_20170103201225838,14,1,4
14_1_4_20170103233153851,14,1,4
14_1_4_20170109205457235,14,1,4
15_0_0_20170102234355667,15,0,0
15_0_0_20170103200828591,15,0,0
15_0_0_20170103200850696,15,0,0
15_0_0_20170103201110847,15,0,0
15_0_0_20170103201301966,15,0,0
15_0_0_20170103201316167,15,0,0
15_0_0_20170104002211388,15,0,0
15_0_0_20170104011728017,15,0,0
15_0_0_20170104011743800,15,0,0
15_0_0_20170104012102240,15,0,0
15_0_0_20170104012346994,15,0,0
15_0_0_20170104012550546,15,0,0
15_0_0_20170104013333801,15,0,0
15_0_0_20170104225947233,15,0,0
15_0_0_20170105183251055,15,0,0
15_0_0_20170105183254311,15,0,0
15_0_0_20170110223430616,15,0,0
15_0_0_20170110224250144,15,0,0
15_0_0_20170110224312647,15,0,0
15_0_0_20170110224324459,15,0,0
15_0_0_20170110225410802,15,0,0
15_0_0_20170110225440579,15,0,0
15_0_0_20170110225617650,15,0,0
15_0_0_20170110225622776,15,0,0
15_0_0_20170110225705232,15,0,0
15_0_0_20170110231550866,15,0,0
15_0_0_20170110232117349,15,0,0
15_0_0_20170110232306381,15,0,0
15_0_0_20170110232311158,15,0,0
15_0_0_20170110232322390,15,0,0
15_0_0_20170110232327328,15,0,0
15_0_0_20170110232331351,15,0,0
15_0_0_20170110232338801,15,0,0
15_0_0_20170110232443234,15,0,0
15_0_0_20170110232452356,15,0,0
15_0_0_20170110232515682,15,0,0
15_0_0_20170110232532949,15,0,0
15_0_0_20170110232610061,15,0,0
15_0_0_20170110232636744,15,0,0
15_0_0_20170110232640357,15,0,0
15_0_0_20170110232646170,15,0,0
15_0_0_20170110232655904,15,0,0
15_0_0_20170110232717464,15,0,0
15_0_0_20170110232721987,15,0,0
15_0_0_20170110232730918,15,0,0
15_0_0_20170110232807958,15,0,0
15_0_0_20170116201123807,15,0,0
15_0_0_20170116201240276,15,0,0
15_0_0_20170116201246071,15,0,0
15_0_0_20170116201248395,15,0,0
15_0_0_20170116201250292,15,0,0
15_0_0_20170116201252122,15,0,0
15_0_0_20170116201253769,15,0,0
15_0_0_20170116201332456,15,0,0
15_0_0_20170116201342325,15,0,0
15_0_0_20170116211720424,15,0,0
15_0_0_20170117134820249,15,0,0
15_0_0_20170120133307597,15,0,0
15_0_1_20170110231743136,15,0,1
15_0_1_20170113132336584,15,0,1
15_0_1_20170113151409719,15,0,1
15_0_1_20170113154729554,15,0,1
15_0_1_20170113180633029,15,0,1
15_0_1_20170117135108912,15,0,1
15_0_1_20170117135556256,15,0,1
15_0_1_20170120134502877,15,0,1
15_0_2_20161219193832243,15,0,2
15_0_2_20170102235056163,15,0,2
15_0_2_20170104011938218,15,0,2
15_0_2_20170104013327250,15,0,2
15_0_2_20170116181405111,15,0,2
15_0_3_20170104225254497,15,0,3
15_0_3_20170104225525049,15,0,3
15_0_3_20170104225537649,15,0,3
15_0_3_20170104225906465,15,0,3
15_0_3_20170104230418059,15,0,3
15_0_3_20170105183235993,15,0,3
15_0_3_20170110225627090,15,0,3
15_0_4_20170103201002253,15,0,4
15_0_4_20170103201013615,15,0,4
15_0_4_20170103233214059,15,0,4
15_0_4_20170104011201568,15,0,4
15_0_4_20170110232416743,15,0,4
15_1_0_20170103200925950,15,1,0
15_1_0_20170103201148510,15,1,0
15_1_0_20170103201844088,15,1,0
15_1_0_20170104013418578,15,1,0
15_1_0_20170104013549874,15,1,0
15_1_0_20170105000525758,15,1,0
15_1_0_20170109203414090,15,1,0
15_1_0_20170109203912357,15,1,0
15_1_0_20170109204142217,15,1,0
15_1_0_20170109204150999,15,1,0
15_1_0_20170109204203014,15,1,0
15_1_0_20170109204210842,15,1,0
15_1_0_20170109204237329,15,1,0
15_1_0_20170109204314585,15,1,0
15_1_0_20170109204354264,15,1,0
15_1_0_20170109204416506,15,1,0
15_1_0_20170109212807412,15,1,0
15_1_0_20170109213421667,15,1,0
15_1_0_20170109213427133,15,1,0
15_1_0_20170109213448729,15,1,0
15_1_0_20170109213511851,15,1,0
15_1_0_20170109213537150,15,1,0
15_1_0_20170109213555287,15,1,0
15_1_0_20170109213613605,15,1,0
15_1_0_20170109214024612,15,1,0
15_1_0_20170109214058590,15,1,0
15_1_0_20170109214133273,15,1,0
15_1_0_20170109214302271,15,1,0
15_1_0_20170109214307598,15,1,0
15_1_0_20170109214319385,15,1,0
15_1_0_20170109214328421,15,1,0
